Time,Temperature
342047,26.1
342451,26.21
342854,26.03
343258,25.87
343661,26.06
344065,25.31
344468,25.93
344871,25.88
345275,25.87
345678,25.97
346082,25.82
346484,25.77
346888,25.94
347291,25.18
347695,25.56
348098,25.14
348502,25.58
348905,25.66
349308,25.9
349712,25.96
350115,26.05
350519,26.04
350922,26.01
351325,26.05
351728,26.07
352132,25.95
352535,25.9
352939,25.88
353342,25.84
353745,25.91
354149,25.94
354552,25.97
354956,25.98
355359,25.97
355763,25.92
356165,25.92
356569,25.8
356972,25.75
357376,25.67
357779,25.72
358182,25.73
358586,25.74
358989,25.74
359393,25.75
359796,25.75
360200,25.73
360603,25.66
361007,25.61
361409,25.55
361812,25.55
362216,25.55
362619,25.54
363023,25.53
363426,25.55
363830,25.58
364233,25.56
364637,25.57
365040,25.53
365444,25.43
365847,25.39
366251,25.34
366653,25.35
367056,25.34
367460,25.35
367863,25.4
368267,25.43
368670,25.42
369074,25.43
369477,25.37
369881,25.28
370284,25.27
370688,25.21
371091,25.22
371494,25.2
371897,25.27
372300,25.27
372704,25.3
373107,25.26
373511,25.23
373914,25.12
374318,25.06
374721,25.07
375124,25.1
375528,25.06
375931,25.1
376335,25.11
376737,25.13
377141,25.21
377544,24.67
377948,24.63
378351,24.94
378755,24.86
379158,24.83
379561,24.84
379965,24.85
380368,24.33
380772,24.31
381175,24.94
381579,24.94
381981,24.92
382385,24.9
382788,24.8
383192,24.78
383595,24.81
383998,24.78
384402,24.82
384805,24.9
385209,24.89
385612,24.86
386016,24.81
386419,24.75
386822,24.71
387225,24.73
387629,24.76
388032,24.83
388435,24.85
388839,24.82
389242,24.79
389646,24.76
390049,24.69
390453,24.68
390856,24.72
391260,24.75
391663,24.82
392066,24.84
392469,24.8
392872,24.7
393276,24.64
393679,24.65
394083,24.69
394486,24.73
394890,24.78
395293,24.75
395697,24.72
396100,24.68
396504,24.65
396907,24.6
397309,24.65
397713,24.67
398116,24.71
398520,24.72
398923,24.65
399327,24.6
399730,24.55
400134,24.57
400537,24.56
400941,24.63
401344,24.68
401747,24.63
402150,24.6
402553,24.55
402957,24.54
403360,24.52
403764,24.53
404167,24.57
404571,24.61
404974,24.59
405378,24.56
405781,24.5
406184,24.45
406588,24.46
406991,24.52
407394,24.54
407797,24.55
408201,24.55
408604,24.48
409008,24.45
409411,24.44
409815,24.42
410218,24.54
410621,24.55
411025,24.56
411428,24.59
411832,24.48
412234,24.48
412638,24.38
413041,24.36
413445,24.41
413848,24.5
414252,24.51
414655,24.53
415058,24.53
415462,24.53
415865,24.5
416269,24.46
416672,24.45
417076,24.41
417478,24.46
417882,24.47
418285,24.48
418689,24.44
419092,24.39
419495,24.36
419899,24.37
420302,24.38
420706,24.45
421109,24.45
421513,24.38
421916,24.35
422319,24.35
422722,24.34
423126,24.38
423529,24.42
423932,24.42
424336,24.46
424739,24.44
425143,24.33
425546,24.35
425950,24.36
426353,24.35
426757,24.33
427160,24.25
427563,24.28
427966,24.3
428369,24.33
428773,24.26
429176,24.22
429580,24.2
429983,24.2
430387,24.27
430790,24.25
431194,24.22
431597,24.13
432001,24.12
432403,24.18
432806,24.22
433210,24.21
433613,24.13
434017,24.07
434420,24.07
434824,24.13
435227,24.19
435631,24.17
436034,24.09
436438,24.05
436841,24.08
437244,24.15
437647,24.17
438050,24.13
438454,24.05
438857,24.06
439261,24.12
439664,24.14
440068,24.11
440471,24.03
440875,24.01
441278,24.08
441681,24.13
442085,24.08
442488,24.02
442891,24.04
443294,24.12
443698,24.08
444101,24.03
444505,24.02
444908,24.06
445312,24.05
445715,23.98
446118,24
446522,24.06
446925,24.07
447329,24
447731,23.96
448135,24.05
448538,24.04
448942,23.98
449345,23.99
449748,24.04
450152,23.98
450555,23.95
450959,23.99
451362,24.02
451766,23.94
452169,23.93
452572,23.99
452975,23.97
453379,23.9
453782,23.93
454185,24
454589,23.92
454992,23.84
455396,23.93
455799,24.01
456203,24
